vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,"2018-12-31T22:37:20,000","2018-12-31T22:49:04,000",5,2.07,1,N,158,79,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T22:36:06,000","2018-12-31T22:48:41,000",5,1.70,1,N,164,90,1,10,0.5,0.5,1,0,0.3,12.3
2,"2018-12-31T22:34:27,000","2018-12-31T22:51:10,000",6,2.37,1,N,158,113,1,12,0.5,0.5,2,0,0.3,15.3
2,"2018-12-31T22:34:26,000","2018-12-31T22:55:32,000",6,4.51,1,N,144,48,2,18,0.5,0.5,0,0,0.3,19.3
2,"2018-12-31T22:34:16,000","2018-12-31T22:48:16,000",5,1.46,1,N,48,164,1,10,0.5,0.5,1,0,0.3,12.3
2,"2018-12-31T22:33:48,000","2018-12-31T22:56:59,000",5,3.11,1,N,79,170,2,16,0.5,0.5,0,0,0.3,17.3
2,"2018-12-31T22:33:26,000","2018-12-31T22:47:16,000",5,2.70,1,N,237,68,2,12,0.5,0.5,0,0,0.3,13.3
2,"2018-12-31T22:32:27,000","2018-12-31T22:50:12,000",6,10.04,1,N,132,191,2,28,0.5,0.5,0,0,0.3,29.3
2,"2018-12-31T22:32:08,000","2018-12-31T23:00:17,000",5,9.20,1,N,142,95,2,29,0.5,0.5,0,0,0.3,30.3
2,"2018-12-31T22:30:05,000","2018-12-31T22:44:22,000",6,1.57,1,N,79,113,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T22:29:06,000","2018-12-31T22:44:40,000",6,3.59,1,N,239,42,1,14,0.5,0.5,0,0,0.3,15.3
2,"2018-12-31T22:27:46,000","2018-12-31T22:39:35,000",5,2.21,1,N,231,232,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T22:27:27,000","2018-12-31T22:45:10,000",5,4.62,1,N,48,75,2,16,0.5,0.5,0,0,0.3,17.3
2,"2018-12-31T22:27:15,000","2018-12-31T22:41:31,000",5,3.56,1,N,143,75,2,13,0.5,0.5,0,0,0.3,14.3
2,"2018-12-31T22:26:53,000","2018-12-31T22:37:20,000",5,2.28,1,N,247,116,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T22:26:53,000","2019-01-01T21:42:23,000",6,6.16,1,N,249,74,2,23,0.5,0.5,0,0,0.3,24.3
2,"2018-12-31T22:25:54,000","2018-12-31T22:40:20,000",5,1.99,1,N,79,90,1,11,0.5,0.5,1,0,0.3,13.3
2,"2018-12-31T22:25:30,000","2018-12-31T22:42:49,000",5,2.35,1,N,142,238,1,12,0.5,0.5,2,0,0.3,15.3
2,"2018-12-31T22:25:03,000","2018-12-31T22:37:49,000",5,2.30,1,N,142,43,2,11,0.5,0.5,0,0,0.3,12.3
2,"2018-12-31T22:24:51,000","2018-12-31T22:38:58,000",5,3.94,1,N,87,52,2,14,0.5,0.5,0,0,0.3,15.3
2,"2018-12-31T22:24:41,000","2018-12-31T22:48:40,000",6,14.25,1,N,132,179,2,39,0.5,0.5,0,0,0.3,40.3
2,"2018-12-31T22:24:33,000","2018-12-31T22:57:02,000",6,17.12,2,N,132,224,1,52,0,0.5,0,5.76,0.3,58.56
2,"2018-12-31T22:24:33,000","2018-12-31T22:43:15,000",5,4.39,1,N,236,224,2,17,0.5,0.5,0,0,0.3,18.3
2,"2018-12-31T22:23:21,000","2018-12-31T22:34:26,000",6,2.18,1,N,141,263,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T22:22:36,000","2018-12-31T22:44:16,000",5,2.70,1,N,236,161,2,15,0.5,0.5,0,0,0.3,16.3
2,"2018-12-31T22:22:32,000","2018-12-31T22:36:53,000",6,1.95,1,N,162,48,2,11,0.5,0.5,0,0,0.3,12.3
2,"2018-12-31T22:22:22,000","2018-12-31T22:53:34,000",6,18.86,2,N,132,236,2,52,0,0.5,0,5.76,0.3,58.56
2,"2018-12-31T22:21:39,000","2018-12-31T22:40:38,000",5,2.17,1,N,167,169,1,13,0.5,0.5,0,0,0.3,14.3
